number,personnummer
SE8902FZSE04507369196975,850504-6402
SE8902AHEK16327695149432,850504-6402
SE8902HHYH75290662440061,950406-8751
SE8902PZCA54916652714719,950406-8751
SE8902ZEFG02654072612379,941216-9394
SE8902KECX77454952878335,941216-9394
SE8902PHBP23745285759120,941216-9394
SE8902UEXU77157980119965,820612-6826
SE8902PNDT46225493958789,820612-6826
SE8902YSFJ49641407660452,820612-6826
SE8902CGGN44982096405890,630903-2362
SE8902VNVB26444807190551,630903-2362
SE8902FQRK02607941091284,781020-8921
SE8902XNNG22633901157104,781020-8921
SE8902UYST13141852485912,781020-8921
SE8902AXJS46097747161697,481105-9429
SE8902LKFN92509719749146,481105-9429
SE8902PPWW98772860378706,930909-4788
SE8902KGKW94418589533102,930909-4788
SE8902NDNF66999896167036,680614-2714
SE8902CRSS40381676939810,500206-8012
SE8902IJXT82994168359885,500206-8012
SE8902EIVL83005400001223,050423-5748
SE8902PZCA35121401839568,050423-5748
SE8902ZKWI27970311269453,521109-8503
SE8902NTNP14578431863584,521109-8503
SE8902ZXNT43964170095616,521109-8503
SE8902PMGE79875782306269,521109-8503
SE8902ZLSU38152589670591,650310-2326
SE8902HONR88805902495744,650310-2326
SE8902URPK98604539614332,050518-7609
SE8902VVHD02124428119755,930313-2816
SE8902RADR87006342899524,930313-2816
SE8902OYJT34170407089732,930313-2816
SE8902PJWK44681020687650,590628-0481
SE8902FIYI65713456085419,590628-0481
SE8902DTEK22648718248964,001124-8465
SE8902FICR14070523465802,060209-9418
SE8902PXIA25659169563589,060209-9418
SE8902VHSV79689453378952,380112-2023
SE8902MPBO43811251290635,380112-2023
SE8902MYQL34957281599288,380112-2023
SE8902VNHD54512853285972,650727-1655
SE8902KEKK45865323405335,650727-1655
SE8902UYJX99302103272039,901021-7504
SE8902KDSG83463231121147,440206-7419
SE8902SIBQ50255597675436,440206-7419
SE8902BMKH85223506006202,990901-3741
SE8902EZTC75119444974184,990901-3741
SE8902CKGN30870859139458,841027-4875
SE8902WOOQ92936756940323,841027-4875
SE8902BPIH50545754424014,051122-1905
SE8902BUFK96017750284452,051122-1905
SE8902YRET73295289384684,051122-1905
SE8902HFHU31704470752933,050505-9402
SE8902WYZH34225739755531,860718-1511
SE8902OGWJ63648618729293,971214-0574
SE8902VGPJ13283714502732,971214-0574
SE8902HNEX22691384731427,900502-3974
SE8902GTCY42439402519574,900502-3974
SE8902DFKR38338296804804,391120-5965
SE8902ZKDX10421013051508,750410-5359
SE8902TEDR45835438693366,810830-5791
SE8902MYAF41015004761281,370512-6294
SE8902PVXY58023203281779,370512-6294
SE8902PYFF43584356710088,450406-4793
SE8902IRFB61133327098904,600428-5208
SE8902GVND24279884047603,600428-5208
SE8902GPFA36799720094528,641211-2184
SE8902ELZB18739033043345,641211-2184
SE8902OBCC22148300299730,641211-2184
SE8902KQRN41891711634501,991102-1559
SE8902TXBS45532244433160,991102-1559
SE8902PZQX69639639708835,470505-6606
SE8902LABO06656289958645,030826-0629
SE8902NWKO97194135840750,971224-8153
SE8902YNTC12900038333806,630829-2041
SE8902MDNZ07631736710862,630829-2041
SE8902IVOY96214540391916,630829-2041
SE8902SWVE72958035221697,401109-3913
SE8902SGIP19540925094856,401109-3913
SE8902JIYN03010915300655,740521-7188
SE8902WLVP30891623838570,030123-7368
SE8902SBJA55969190091622,011221-6668
SE8902ORYE96835562318363,011221-6668
SE8902BXXL03349007588184,370621-5740
SE8902RJTH18457848498362,640828-1761
SE8902SWUO93445136998779,970923-3457
SE8902BJJW80700710146306,640809-0972
SE8902GUSC80195518315292,700912-3162
SE8902FIPA10724498284430,760927-9935
SE8902BGCD93558191440631,760927-9935
SE8902TTPM98746572032527,760927-9935
SE8902UKZH07614450394210,760927-9935
SE8902KSGF71738325166005,681019-3356
SE8902HPWL04362782422482,910303-8197
SE8902QGCC57365439848735,660611-5696
SE8902CYID75986933756307,660611-5696
SE8902CTTQ01840451140837,360726-8475
SE8902YLGY52629721861522,360726-8475
SE8902XPAJ65991927702309,711216-1208
SE8902WMJJ51991398288050,981029-2228
SE8902ZXAW60732336695039,780131-2534
SE8902MDNM47158749964475,780131-2534
SE8902WZLH99859802593290,780131-2534
SE8902ROGS73958838242756,640530-4145
SE8902IZSA05856911089420,710212-9421
SE8902DLWG41019668778673,710212-9421
SE8902QUOF98062212973582,710212-9421
SE8902RYKE86473925510810,990314-4005
SE8902JOFM02128807446388,990314-4005
SE8902DUTF93039768635289,990314-4005
SE8902DFTK58521301853667,930909-0083
SE8902OYPA21905833997575,670927-6692
SE8902CSUB76034349271801,670927-6692
SE8902QOCB42246763060437,670927-6692
SE8902QLJV52414595084983,711027-4136
SE8902OKMI49108778323152,711027-4136
SE8902YKYW41454254853013,711027-4136
SE8902KXZG04188160034505,360211-4864
SE8902IRXM76402046933447,760501-9566
SE8902ENIP08812598160608,660121-5905
SE8902MPNL50338015513966,750228-2010
SE8902VEAH30336103124143,881102-6601
SE8902NICP68801229126142,410509-5394
SE8902ASTC98288493218479,800113-8802
SE8902CESP64404653553503,800113-8802
SE8902MTMI06594570742956,670624-2580
SE8902HHIF82963758493406,790125-4735
SE8902ZQCP29856631445736,890126-4294
SE8902KRXX94302923264190,820814-2730
SE8902NCXM81961596971217,460425-2116
SE8902DODL93628976204056,460425-2116
SE8902XRJK40800627494760,460425-2116
SE8902LZUK24908560499564,721001-1362
SE8902JNXI63455067931159,861002-8584
SE8902UBCU90744779272095,861002-8584
SE8902PXQH61449282091685,801224-6826
SE8902XRXK08656402257731,801224-6826
SE8902WEKU43448348357274,930420-7039
SE8902LVXU45645431379058,930420-7039
SE8902HWJY31693118100265,930420-7039
SE8902CUPW43936580619697,930420-7039
SE8902TVVW36796985465424,820908-1754
SE8902SSFH90772655677771,820908-1754
SE8902AWSW06663692036271,820908-1754
SE8902NARF82423087494951,740130-9294
SE8902SXPW11925151476639,370430-1245
SE8902BMPQ91677548950599,990828-0408
SE8902MWDF84512259931131,990828-0408
SE8902UKGU22372539668767,680226-2789
SE8902MHLN19630671655118,880515-5291
SE8902LHFZ29797803618611,571108-1736
SE8902CSVI62856318176389,571108-1736
SE8902WDBD60546648364604,060421-6929
SE8902SWNN10932426317588,060421-6929
SE8902NHHE72558917992094,060421-6929
SE8902VCCV99038245497441,060421-6929
SE8902APGC43049266646070,860413-2715
SE8902CZTD12546658942322,550221-0403
SE8902APAY62987238625378,550221-0403
SE8902WAUN43737771587933,490201-1644
SE8902DPEB81005169704748,490201-1644
SE8902URHJ34985941724410,451019-9856
SE8902CVCL15370228725883,451019-9856
SE8902OEOS78313478602616,900917-3072
SE8902AJWV32643872763055,950429-5172
SE8902QSRT54181564209384,710405-8669
SE8902DLDV82611237215432,411202-7844
SE8902OFUZ18084827922281,411202-7844
SE8902HJVZ84217032960804,921225-4370
SE8902EWFT80524424320740,921225-4370
SE8902PKTE67668470216032,500101-4595
SE8902WEHA49020802174052,500101-4595
SE8902IHIQ01435132647594,610526-1124
SE8902IBVV34128276013571,610526-1124
SE8902YHAA89862840296588,550705-4368
SE8902WCAS00095564677686,550705-4368
SE8902SLFF12042336980310,550705-4368
SE8902UYYP95543648799468,440311-2644
SE8902MGEE43594824630478,440311-2644
SE8902ABCI09083135852362,390908-3481
SE8902ZRLY01940686977078,351122-2345
SE8902IRYW06007116098969,570430-7023
SE8902FJRZ84678984239789,491020-7085
SE8902YIGN27857962046337,491020-7085
SE8902OZFC33666152893075,491020-7085
SE8902OIHB27056213134088,491020-7085
SE8902WTAC98505915580906,590515-7490
SE8902OOAX91747135211556,521204-1494
SE8902QAZG09127767648191,740504-1679
SE8902MSYM87908445878247,540906-8664
SE8902EYMA71424100155624,540906-8664
SE8902BLES31607704362507,790626-1164
SE8902BOUY59686528226898,790626-1164
SE8902BSSA60062094533254,790626-1164
SE8902DSQM48924442124429,920825-3444
SE8902JYGS54214996159876,920825-3444
SE8902BYQJ37348110142026,920825-3444
SE8902ALDV54212317929105,971129-8167
SE8902KXIU12156687445452,970622-9151
SE8902DCOL79443022999607,450814-7529
SE8902WDKF51923308180325,570303-8983
SE8902VIKA99543892665225,970611-0088
SE8902XASW23908035149090,970611-0088
SE8902LOMD27700424580738,980125-3346
SE8902FVGG87573402757274,980125-3346
SE8902TJHH19935980929357,921120-3188
SE8902NVEJ65099549553660,921120-3188
SE8902JZHV12697549891051,880427-9779
SE8902ZLVI45179367688001,060113-7854
SE8902XWWW09616108807673,060113-7854
SE8902BRVY69326643951697,060113-7854
SE8902MSKE80853252217521,060113-7854
SE8902SUWJ79265934405849,060113-7854
SE8902HMRC51048208656533,380518-6412
SE8902VQJB24905491378975,790403-8986
SE8902GBVS77049275938256,060102-5166
SE8902UDZX28475532786645,990703-1620
SE8902XMGO31169796156422,970408-6090
SE8902POFT31781505407261,531216-1515
SE8902CERX42574406023385,520626-3864
SE8902LQCY97132597903653,520626-3864
SE8902SXJH60642659203512,440810-3366
SE8902UDDT61255542548403,440810-3366
SE8902LPEN96181569053804,440810-3366
SE8902RMSO47297381276093,700501-1981
SE8902QORV15540178275192,700501-1981
SE8902YPZC65801887436716,520425-7512
SE8902CUOE57010683673827,520425-7512
SE8902YYYI66992869104128,531223-6358
SE8902YJXB64895950552752,911213-6602
SE8902VOSW39976751520748,911213-6602
SE8902FZXA39432781655146,690921-9823
SE8902AGKG56449067223821,680824-6117
SE8902DZHP61637560790239,680824-6117
SE8902RZFP78915425211808,680824-6117
SE8902JGET69909203043484,980217-7437
SE8902QDZY71565646096031,620701-4371
SE8902PHZM16349003541849,620411-4224
SE8902ZOOA52650168897969,620411-4224
SE8902PDGJ32018551228361,620411-4224
SE8902LCJQ73532447224180,770403-5174
SE8902MCXU75559151329539,050912-9367
SE8902LRII41141175631962,560712-8013
SE8902XCIT83626304015289,950322-4348
SE8902KXQX53312988480606,950322-4348
SE8902OUPU84316403774629,470803-0228
SE8902ZNZJ14740429409132,421107-8235
SE8902MRUT53775599153424,421107-8235
SE8902JDUG38430484947972,421107-8235
SE8902FSHP10260673043058,710308-8840
SE8902RXEO54698137995629,710308-8840
SE8902ODMT77538431211070,921123-4415
SE8902PBIN91837741717535,921123-4415
SE8902AJBK46731097300127,621218-9465
SE8902PEON36946466714039,621218-9465
SE8902IBRL73514393853709,061202-3424
SE8902NCAV32496000862158,061202-3424
SE8902WUQY51836384824862,460807-7857
SE8902OSGI33975637174014,460807-7857
SE8902JQLI89762328252714,720904-0596
SE8902YOEQ24302821558052,720904-0596
SE8902NNPV87542051467826,720904-0596
SE8902GJDA67738305986789,030511-6303
SE8902WGYQ69186751021705,640815-5569
SE8902ZMJW13591262733635,910321-0796
SE8902VTHV28702716510201,910321-0796
SE8902DCMN11330059075548,461126-7594
SE8902VXCN92555967023068,760114-0374
SE8902KUEA52312991740375,380310-0910
SE8902PSDU01157140348454,000314-7410
SE8902VVYX01959227879602,690716-0946
SE8902IZTD49242406990957,831021-0300
SE8902EMWA07310860593299,831021-0300
SE8902OQXJ58281922012233,831021-0300
SE8902GGKR42392585018307,460829-8503
SE8902GTLW57183159704787,780816-3187
SE8902VWAD86682394986970,370130-6767
SE8902APIU03455131132898,370130-6767
SE8902XTUF07459707305027,550831-1700
SE8902EFHS85453059184413,610425-7636
SE8902STNU52506311905850,610425-7636
SE8902KYVM99796065752709,550731-1461
SE8902MKLH18090696396549,650927-0093
SE8902FALO12592929038007,010821-2200
SE8902PVCP67531685807244,781214-7663
SE8902GRWZ34379604879742,781214-7663
SE8902HVPT46962947592889,781214-7663
SE8902DAAY53560395643258,410929-0959
SE8902BGEC34321233292210,790212-5132
SE8902ZQQU11090079359230,530507-1002
SE8902GTSI58472323675409,521111-0225
SE8902IRAV26677525304054,521111-0225
SE8902IOMT49938428710447,810606-4010
SE8902WFYM22431253974291,810606-4010
SE8902OAXX40358043905095,940117-7861
SE8902RZBJ59535588376954,940117-7861
SE8902IPZG65724433104559,940117-7861
SE8902FVVV61614688034328,381020-9027
SE8902SMVS26727409745066,410527-0252
SE8902MXYQ14304426612222,410527-0252
SE8902HPFQ34725635471792,410527-0252
SE8902VGVU47553893715270,410527-0252
SE8902OPYN00691430716758,631221-0229
SE8902EPWK73250364544965,400118-5901
SE8902IDSK51225196610969,400118-5901
SE8902OGIV86383792142837,391117-9285
SE8902QZEZ52320024971424,391117-9285
SE8902DWZI85436013187521,981215-7254
SE8902UJGR36411837401781,981215-7254
SE8902VAPD72818464374400,981215-7254
SE8902VEIB72029945509184,981215-7254
SE8902CHSI75448480838708,981215-7254
SE8902XPHQ15953762308017,960709-2138
SE8902VBHN50052224387585,960709-2138
SE8902URSS59260219235990,480306-8115
SE8902IQRO13056391101908,940125-0585
SE8902GXLB05514229654020,410710-9094
SE8902KWAF90270853352878,410710-9094
SE8902MLNA56994057710583,410710-9094
SE8902JIJC96071565969922,410710-9094
SE8902BWXT39949824641151,970509-1354
SE8902TKNC87869236455689,970509-1354
SE8902PSRJ65756431691707,970509-1354
SE8902SILE68578227700598,460430-5393
SE8902UTKP18439002370878,460430-5393
SE8902HQID54921038055598,460430-5393
SE8902CMWE25531271390672,050129-1702
SE8902ZWKL91581622045409,650907-0865
SE8902NHEC01255630352421,650907-0865
SE8902HRZI51889347255465,970320-1955
SE8902AVQC54172602808950,970320-1955
SE8902YHDH55973704252760,390120-3251
SE8902BABM26306156053804,390120-3251
SE8902UNAU13611272599268,390120-3251
SE8902ZJVA11817265425330,870510-7632
SE8902JFQL02168511886094,890713-4053
SE8902COVG23577172278709,890713-4053
SE8902HWHC81157429988113,890713-4053
SE8902IDYW61560887680926,410316-8359
SE8902VBXW33852287376238,540225-7553
SE8902TTDD62882365317340,020819-5933
SE8902JDLY63782567946635,000112-4718
SE8902PKJC56529381306922,000112-4718
SE8902PLTU47854504283727,860806-5499
SE8902QBPI92232356394837,551226-2535
SE8902NPMZ64718534936104,551226-2535
SE8902ERJA13877835143324,960812-8352
SE8902OKVE09579666832306,491206-5150
SE8902BPMW61406251979814,920430-0215
SE8902YLGE04073464233597,920430-0215
SE8902TCZL47145018856917,590612-4861
SE8902ZNRZ32368916134263,680414-8994
SE8902WSHS28438837480311,680414-8994
SE8902NDNE36671961231780,850328-3593
SE8902OLFT37200388827050,680912-5039
SE8902JQHT00463203687003,680912-5039
SE8902IIVG09252145366202,680912-5039
SE8902EYGF77551822415743,380518-3252
SE8902LVSQ11356198112962,000615-6756
SE8902YVWX44120455116841,690811-8372
SE8902DQWP79606697709694,690811-8372
SE8902XXCG81260198384509,690811-8372
SE8902UTYY22254486734176,040605-9147
SE8902UPQN50233742051449,970114-2821
SE8902EWZR85142291879165,950821-8626
SE8902KLMT84633622382072,000807-9626
SE8902DBWG37143242474670,000807-9626
SE8902MTEW80340871788369,411210-1656
SE8902WSLA24954889786348,411210-1656
SE8902VJHZ33855900402507,411210-1656
SE8902DZEM65843874009450,511005-5604
SE8902GFAS09862022036004,030603-7102
SE8902IWLJ80369151603079,030603-7102
SE8902AORR62231578413137,980203-2699
SE8902UOQA63786044169527,980203-2699
SE8902TJBO76009734317061,661104-6993
SE8902KIDF78947091109600,661104-6993
SE8902FUJI48043244293392,890522-1597
SE8902QPHE36884244476446,890522-1597
SE8902RQLR53927445231063,761115-2401
SE8902VATX29635590400151,930408-3224
SE8902MMZN38846965231738,490201-7484
SE8902DAYC14364335693782,700606-8501
SE8902FALW17606613401607,700606-8501
SE8902WZEL99650586037049,020207-5792
SE8902DRZG97085120488113,430330-6577
SE8902QJSX02120298481356,430330-6577
SE8902IMEB42197421849807,430330-6577
SE8902JXJJ56306612147768,410918-5795
SE8902AZMF62874749728667,410918-5795
SE8902TRVE47135720140849,750529-8526
SE8902KNBO14478747094323,630412-3000
SE8902PQTU50864263302777,630412-3000
SE8902YUYG10929263320035,031129-0464
SE8902LUTP25647153659821,031129-0464
SE8902ZDMU73833226690524,560511-1326
SE8902LFPB25372838213647,560511-1326
SE8902MJPO40977388006286,801116-3071
SE8902PLXR29095818137187,980130-3422
SE8902QIQI47434237190569,980130-3422
SE8902CRWQ10550122839130,980122-7878
SE8902PVRO74801343887399,610329-4028
SE8902KPIO16227949467449,540220-9521
SE8902OZOM23207181936410,901208-9356
SE8902NVPZ06971021222436,901208-9356
SE8902KLVA35234334264887,901208-9356
SE8902SNNM24012074185591,901104-3719
SE8902DRXY50176432565193,841210-2173
SE8902YMVD57211621327275,030417-5920
SE8902WRRU80784544437204,030417-5920
SE8902GAFL88123638280516,840921-6200
SE8902JPPD16064860435781,810113-7506
SE8902FSHA42297476809642,521117-6978
SE8902LWGY12400441776877,521117-6978
SE8902OYBW39299291170957,891106-8834
SE8902IJUF89235594362096,891101-6767
SE8902DPTT93032573974424,891101-6767
SE8902WJJF53894909945600,441112-0035
SE8902NZPO70353430427963,640113-3456
SE8902IMDH11855815032434,640113-3456
SE8902UITH42469834496346,640113-3456
SE8902QPGW46075376024266,990215-7727
SE8902LKXQ69920608322446,680723-0690
SE8902PCFD04141042982858,430815-3222
SE8902FAAO97542766702624,981103-6731
SE8902ONZU44479921442383,981103-6731
SE8902POYE56306553396402,860309-0559
SE8902IEHG40560196591529,900316-6783
SE8902BUFN52320844378385,620626-8408
SE8902VDAM04395711962652,671203-2561
SE8902EJLS77341060789288,431218-4601
SE8902POUN96279557917869,431218-4601
SE8902VYBF24172056441453,431218-4601
SE8902KKUH06675943754803,431218-4601
SE8902DSLW17149818922650,951215-6036
SE8902MQKC26955141529313,951215-6036
SE8902XNEE54146257506129,951215-6036
SE8902BXJC93392072105707,930323-2665
SE8902MZQD36471607948390,450531-4726
SE8902ZXBS27847759587560,450531-4726
SE8902CGGR69488718084568,450531-4726
SE8902LJOL22570334014589,450531-4726
SE8902PGCD42349227810447,050501-4027
SE8902NUWT16017828621340,521207-7944
SE8902EPQO36893099676290,050608-5364
SE8902MERM08934535145689,490129-6196
SE8902DCRG03419581347172,490129-6196
SE8902JWPZ44810854846338,750324-2856
SE8902KEUK66106098793775,540522-6134
SE8902WQDY35666811304216,540522-6134
SE8902IFAT25470340151750,540522-6134
SE8902CKLN78195298715336,460425-7487
SE8902OBIX76276487885565,950407-8487
SE8902VTXY24068790036789,910519-4634
SE8902EQDP30307774877765,960825-5072
SE8902YOEW30639718787528,960825-5072
SE8902CKBV64663475183727,960825-5072
SE8902WRAH16184147348462,910827-2437
SE8902BADP38378986803145,910827-2437
SE8902MEJF62740560811988,841022-4763
SE8902KQTT53706765844553,760413-8730
SE8902IGKY05275707479128,760413-8730
SE8902JXNJ08943900596647,981014-7646
SE8902ZJLO95363862694613,681010-5228
SE8902VJEF22408425695352,681010-5228
SE8902QRLT89568280421783,711020-3960
SE8902QLUT99208994499946,711020-3960
SE8902RCJB06422384154874,791118-2462
SE8902UYWH41914146129072,400328-6996
SE8902EBWI20739935052200,510617-0615
SE8902UUHR56831431647978,640413-8023
SE8902EQYQ41081582080415,640413-8023
SE8902SABF96781999798332,710524-0449
SE8902MOYL96215082468431,031014-0330
SE8902KSPR66432840199154,031014-0330
SE8902JWGD74194436561021,480629-0807
SE8902OQZB62959452894569,530404-5650
SE8902NSZV23305609626569,880504-5534
SE8902LDPN73303918695424,880504-5534
SE8902EQCK63728076800609,630813-9200
SE8902WSOG82520529247442,630813-9200
SE8902SRLL43477163490964,630813-9200
SE8902XCHA19919213751955,770314-1197
SE8902KXMK45343849770312,770314-1197
SE8902MDRR93436036363613,770314-1197
SE8902SVNA09488395571575,570307-0606
SE8902SSZA54290319483676,990826-3057
SE8902OEJT81666216962345,000722-4124
SE8902ZVTV98812993474647,000722-4124
SE8902NBPA53790596412090,000722-4124
SE8902VROD28357188719403,561012-3878
SE8902OARH91598307982968,050719-3324
SE8902RLHG01713064216795,460405-5261
SE8902RMGJ56941789044857,460405-5261
SE8902ZKUQ38316655030762,460405-5261
SE8902IAZC69283036911026,510326-2258
SE8902FEOU83301563734443,510326-2258
SE8902YQXU56366715188424,651011-9842
SE8902EEKT76326536417923,651011-9842
SE8902KZIO19030755409685,651011-9842
SE8902KLES25420753966546,700610-4371
SE8902HRWG83554443123395,700610-4371
SE8902YSVI54424221824629,751014-2008
SE8902MCFO49095808464569,980717-2268
SE8902EJVD58777899114942,621205-8827
SE8902CODF26383416794081,621205-8827
SE8902VRCK66669606024532,621205-8827
SE8902MCEV93618355713025,991126-8184
SE8902BTSC01483794930785,991126-8184
SE8902VXXB63484309612552,500128-9916
SE8902UFZY41218181108055,500128-9916
SE8902IDIO78110702344946,500128-9916
SE8902WMGQ92121042977797,500128-9916
SE8902FVFT61557043346714,501213-8391
SE8902RNLY55461931214075,501213-8391
SE8902CFVM08634732646774,420602-4558
SE8902EJYN15169896233918,420602-4558
SE8902SICI51731283266081,420602-4558
SE8902PUFG51102457949170,950329-4267
SE8902REPT13055923984909,701113-4041
SE8902CFEY43701881421531,701113-4041
SE8902KLRO16474013075873,020907-9359
SE8902AZOB63571733972059,930801-0736
SE8902YWYE88254254671994,891116-5697
SE8902ZGKY70073543360198,891116-5697
SE8902MQMR87651444736111,891116-5697
SE8902REOE84824920257605,680818-7006
SE8902GUBN02340962282734,680818-7006
SE8902IGPY15346785802644,731219-6335
SE8902TDHG03930597785173,410517-2805
SE8902ZVUC22763571961124,870926-1112
SE8902IOJE14304978072957,870926-1112
SE8902BFKJ67373461094245,361113-4648
SE8902ZJJI38537368499499,361113-4648
SE8902UZPG07009538779616,840407-4828
SE8902GWBV65006975861231,840407-4828
SE8902RFKG13034824351836,590323-8250
SE8902XNTB41827621868449,390508-4368
SE8902HHSO58247661775142,390508-4368
SE8902JYDD80497877012989,590618-9138
SE8902EBQG46394645816502,490730-0612
SE8902NPSO51568640255218,920221-3337
SE8902FEUM16554377486070,961003-4705
SE8902VBBU70773188294633,990316-2809
SE8902VZIJ18435178550619,511209-5483
SE8902RCMN64982980569854,040530-8834
SE8902RWQU01903466709841,070302-0982
SE8902EJAI99151957237924,521030-3250
SE8902XYRM52103884724966,030803-2572
SE8902FUMK63947148705760,850331-3853
SE8902FGVS05404234689422,850331-3853
SE8902OUYV90192199566077,740122-1705
SE8902SPLV55493875690484,740122-1705
SE8902LOKN91099936771965,740122-1705
SE8902EGUE04752445182497,850818-8110
SE8902QIDW01871973556269,941120-4879
SE8902WDJE85359881297343,011120-7973
SE8902JLFC48207582147190,621117-4120
SE8902DGOU52251724210139,621117-4120
SE8902KCJU30225323097413,600828-3746
SE8902UDAI89693707440786,570120-3019
SE8902LXEY88372509516456,570120-3019
SE8902XVJQ62588665096343,570120-3019
SE8902PEJL40222448009128,570120-3019
SE8902CWGG49250440286257,590912-5550
SE8902WZTY78877140572268,590912-5550
SE8902LACW59549122762926,451223-3471
SE8902OGIR23428207822800,451223-3471
SE8902FFCY95333401231837,671225-1187
SE8902BUUB70684057188314,671225-1187
SE8902TEZZ10595111121627,671225-1187
SE8902QXXL08650991961519,631111-4174
SE8902GQAD77323256759071,631111-4174
SE8902KMRD06713970744337,741011-0774
SE8902GGVM41036620748091,390309-7446
SE8902FOBI10005828618756,390309-7446
SE8902APMC92937900903172,631020-2814
SE8902HNSY33169866302829,850721-4495
SE8902RQNM94686024135916,850721-4495
SE8902TXSH82999507978837,990402-8397
SE8902RATJ14504736298199,990402-8397
SE8902WQDQ90710651633977,990402-8397
SE8902XNVC89027044051893,990402-8397
SE8902LNZG09887297010450,821220-2496
SE8902MJJU05220306140238,390220-2948
SE8902VPUM81969837191902,050329-2591
SE8902QBZS75980360092144,050329-2591
SE8902IRET80983872349375,021116-3951
SE8902RFND18240718616184,510203-9111
SE8902XNSP62301861969649,931224-0071
SE8902NOMU53996442028881,931224-0071
SE8902SNGW19711846882889,630615-2213
SE8902BLNY30650799297988,750512-8194
SE8902RCMP67198715313709,750512-8194
SE8902BCJH45677202414984,351214-1205
SE8902JOAA73203338391811,351214-1205
SE8902PTQI05277402468840,531114-5873
SE8902VCGO21843909614852,760604-4704
SE8902DDDT67161166312580,650728-3643
SE8902ASEU46374988626527,650728-3643
SE8902OUGZ49389646387563,791120-5644
SE8902XMSF03346539893576,670901-4283
SE8902GORN68994003453353,780805-2190
SE8902FCSV26977507325534,780805-2190
SE8902RXQC04091454093931,780805-2190
SE8902KWBD56921885506215,041209-4120
SE8902AUQD67157033620100,460704-8594
SE8902YPLL97549313922893,730624-4521
SE8902ATDH36917846037146,970816-9066
SE8902ECCJ86383227351359,970816-9066
SE8902GVHN92964423897611,970816-9066
SE8902PBJH90393502972632,530822-3378
SE8902TURO07496760761316,940413-2103
SE8902PYVE63223607468293,570719-8890
SE8902XXAF74151570423565,570719-8890
SE8902FQVQ38132937638029,490116-1465
SE8902HAYZ30931717835549,421117-8456
SE8902TCZM12187781824588,050405-2614
SE8902JUBX10521679094085,050405-2614
SE8902IASU37111569398010,390526-2642
SE8902FGIY23117081354016,390526-2642
SE8902KLNQ25617997709976,390526-2642
SE8902GYOU97729788286246,671006-6009
SE8902LGDS93932200371895,841214-1296
SE8902IXLN09147641003463,060925-9098
SE8902WQME16820619653293,060925-9098
SE8902KSGB25510595835295,060925-9098
SE8902NRAS31362495279847,880817-1568
SE8902ZKCR38556369708361,860106-4812
SE8902RBSV68895772780848,980111-2799
SE8902IKZC79179007095909,670116-8301
SE8902BNCT48612177889839,670116-8301
SE8902TDWF15245617438533,890624-2840
SE8902OSPT65036097285857,890624-2840
SE8902ANWR22887008474492,890624-2840
SE8902XJAN35723200835220,380917-9272
SE8902FCJT75375914520219,380917-9272
SE8902OZBM53448690509013,490510-1459
SE8902EUHG64782205847802,710111-6791
SE8902VPUI15502095985231,710111-6791
SE8902JFLG01724285840236,710111-6791
SE8902IDDI95912852862700,710111-6791
SE8902YCCU23582343543594,710111-6791
SE8902HADZ94831371615319,710111-6791
SE8902JVFU12272732120946,630729-3644
SE8902LYRU49405628277247,760406-5404
SE8902TTXT03943566438167,420430-8151
SE8902BTKI53390685216432,420430-8151
SE8902XBIN60287954526260,530921-2867
SE8902OGIL87909531470185,900621-8300
SE8902RWKL37240797745939,900621-8300
SE8902ZQQX91042131747326,900621-8300
SE8902XYVB77684435420465,670219-4314
SE8902WOTL92806947118912,470722-7825
SE8902KMMG56349206484127,480729-3370
SE8902DPEV86073624782716,400315-1315
SE8902WCUC03726382390092,651210-6565
SE8902FUAR93924916890637,891027-0126
SE8902XPHP30865499209335,360719-1347
SE8902XTMW65537920620819,360719-1347
SE8902QASC32307460643773,390528-0370
SE8902MEPG75869905095161,580424-2880
SE8902VWKO20169767635100,580424-2880
SE8902SVEX40095531093926,840419-0962
SE8902EKEC92166161424949,550907-9165
SE8902KMID87590796935719,550907-9165
SE8902LSEC82086405777991,530830-8732
SE8902ALFN61867186946491,560806-9745
SE8902AAEJ67825986403885,560806-9745
SE8902AZXE66883467511248,560806-9745
SE8902XARR24637715791113,761217-5484
SE8902AXSS75904959058026,801016-4898
SE8902NFJG83208273691327,801016-4898
SE8902PQTC99238321979954,751230-8458
SE8902LEVI44801863486814,751230-8458
SE8902YKLA01358484410445,010215-5330
SE8902EMIT82352727650511,010215-5330
SE8902OBNT50973876422839,010215-5330
SE8902SEYF48760878274175,360222-0778
SE8902OVTP75889092553957,410919-5562
SE8902FKHJ95461624405436,410919-5562
SE8902KCYM07724798345050,930823-9459
SE8902URSV28669190464010,930823-9459
SE8902AJRJ35802643947946,930823-9459
SE8902KJYB05100798381483,020829-7697
SE8902WYLP16417283310059,020829-7697
SE8902STXO91790409285299,020829-7697
SE8902ZKJC38755928645078,940521-7903
SE8902WOXH43586674611980,940521-7903
SE8902BWKM27720380863718,940521-7903
SE8902CNUK05592418774943,390106-8696
SE8902ZRRV53604198996393,390106-8696
SE8902SIKL89762687070372,390106-8696
SE8902IQDI59898249098467,661229-4360
SE8902HNLH30212836252481,661229-4360
SE8902MCRF20072685039505,481025-6307
